Manufacturer,CPU Name,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),Weight (kg),Battery,Price (VND)
asus,Intel Core i7 Raptor Lake - 1355U,Intel,7,13,1.7,16,DDR4,3200,512,15.6,1920x1080,60,1.7,42.0,22990000
asus,Intel Core i5 Tiger Lake - 1135G7,Intel,5,11,2.4,16,DDR4,2933,512,15.6,1920x1080,60,1.8,37.0,14990000
asus,Intel Core i7 Raptor Lake - 13700H,Intel,7,13,2.4,16,DDR4,2933,512,15.6,1920x1080,60,1.7,50.0,24490000
asus,Intel Core i5 Tiger Lake - 11400H,Intel,5,11,2.7,16,DDR4,3200,512,17.3,1920x1080,144,2.6,48.0,20990000
asus,Intel Core i5 Alder Lake - 12500H,Intel,5,12,2.5,8,DDR4,3200,512,15.6,1920x1080,144,2.2,56.0,23990000
asus,Intel Core i5 Raptor Lake - 13500H,Intel,5,13,2.6,8,DDR4,3200,512,15.6,1920x1080,60,1.7,50.0,20490000
asus,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,16,DDR4,2933,512,14.0,1920x1080,60,1.4,42.0,18490000
asus,Intel Core i3 Tiger Lake - 1115G4,Intel,3,11,3.0,8,DDR4,3200,512,15.6,1920x1080,60,1.8,37.0,11290000
asus,Intel Core i5 Raptor Lake - 1340P,Intel,5,13,1.9,16,LPDDR5,4800,512,14.0,2880x1800,90,1.39,75.0,27990000
asus,Intel Core i5 Raptor Lake - 13500H,Intel,5,13,2.6,16,DDR4,3200,512,14.0,2880x1800,90,1.4,63.0,29490000
asus,Intel Core i5 Raptor Lake - 13500H,Intel,5,13,2.6,16,DDR4,3200,512,14.0,2880x1800,90,1.4,63.0,22990000
asus,Intel Core i9 Raptor Lake - 13900H,Intel,9,13,2.6,16,DDR4,3200,512,15.6,1920x1080,60,1.7,50.0,24990000
asus,Intel Core i5 Alder Lake - 12500H,Intel,5,12,2.5,16,DDR4,2933,512,15.6,1920x1080,60,1.7,50.0,19990000
asus,Intel Core i3 Raptor Lake - 1315U,Intel,3,13,1.2,8,DDR4,3200,256,14.0,1920x1200,60,1.5,50.0,16990000
asus,AMD Ryzen 5 - 7520U,AMD,5,7,2.8,8,LPDDR5,5500,512,15.6,1920x1080,60,1.63,42.0,13990000
asus,AMD Ryzen 7 - 4800H,AMD,7,4,2.9,8,DDR4,3200,512,15.6,1920x1080,144,2.1,56.0,22990000
