_id,url,price,brand,cpu,memory,weight,screen_size,screen_resolution,graphic_name,graphic_type,storage,battery,refresh_rate
654898055b123315f9ef043d,https://www.newegg.com/silver-hp-15-everyday-value/p/1TS-000D-18DP1,766.79,HP,Intel Core i3-1115G4,8GB,3 - 3.9 lbs.,15.6,1920 x 1080,Intel UHD Graphics,Integrated Card,2 TB,45 whrs,60 Hz
654898055b123315f9ef043e,https://www.newegg.com/silver-hp-15-mainstream/p/1TS-000D-0SDF7,662.79,HP,Intel Core i5-1135G7,16GB,3 - 3.9 lbs.,15.6,1920 x 1080,Intel Iris Xe Graphics,Integrated Card,1 TB,45 whrs,60 Hz
654898055b123315f9ef043f,https://www.newegg.com/silver-hp-15-content-creation/p/1TS-000D-1AYM7,686.79,HP,Intel Core i5-1135G7,32GB,3 - 3.9 lbs.,15.6,1366 x 768,Intel Iris Xe Graphics,Integrated Card,1 TB,45 whrs,60 Hz
654898055b123315f9ef0440,https://www.newegg.com/dark-gray-lenovo-ideapad-3-mainstream/p/1TS-000E-12A30,959.99,Lenovo,Intel Core i7-1165G7,20GB,3 - 3.9 lbs.,14.0,1920 x 1080,Intel Iris Xe Graphics,Integrated Card,2 TB,65 whrs,60 Hz
654898055b123315f9ef0441,https://www.newegg.com/silver-hp-15-mainstream/p/1TS-000D-0XCN5,619.79,HP,Intel Core i5-1135G7,16GB,3 - 3.9 lbs.,15.6,1920 x 1080,Intel Iris Xe Graphics,Integrated Card,512 GB,45 whrs,60 Hz
654898055b123315f9ef0442,https://www.newegg.com/silver-hp-15/p/1TS-000D-0MD56,716.99,HP,Intel Core i5-1135G7,32GB,3 - 3.9 lbs.,15.6,1920 x 1080,Intel Iris Xe Graphics,Integrated Card,512 GB,45 whrs,60 Hz
654898055b123315f9ef0443,https://www.newegg.com/p/1TS-0016-055D1,1239.99,MSI,,16GB,,15.6,1920 x 1080,Intel Iris Xe Graphics,Integrated Card,1 TB,,60 Hz
654898055b123315f9ef0444,https://www.newegg.com/p/1TS-000D-19BF7,734.79,,i5-1135G7,16GB,4 - 4.9 lbs.,17.3,1600 x 900,Intel Iris Xe Graphics,Dedicated Card,1 TB,,60 Hz
654898055b123315f9ef0445,https://www.newegg.com/p/1TS-000D-19BH1,773.79,,i5-1135G7,32GB,4 - 4.9 lbs.,17.3,1600 x 900,Intel Iris Xe Graphics,Dedicated Card,1 TB,,60 Hz
654898065b123315f9ef0446,https://www.newegg.com/silver-lenovo-thinkpad-e15-gen-4-work-business/p/1TS-000E-10P55,1159.99,Lenovo,Intel Core i7-1255U,16GB,3 - 3.9 lbs.,15.6,1920 x 1080,Intel Iris Xe Graphics,Integrated Card,512 GB,65 whrs,60 Hz
6548980a5b123315f9ef0447,https://www.newegg.com/p/1TS-000D-19BH3,729.79,,i5-1135G7,16GB,4 - 4.9 lbs.,17.3,1600 x 900,Intel Iris Xe Graphics,Dedicated Card,1 TB,,60 Hz
6548980c5b123315f9ef0448,https://www.newegg.com/p/1TS-000D-19BF5,799.79,,i5-1135G7,16GB,4 - 4.9 lbs.,17.3,1600 x 900,Intel Iris Xe Graphics,Dedicated Card,1 TB,,60 Hz
6548980d5b123315f9ef0449,https://www.newegg.com/p/1TS-000D-19BG8,699.79,,i5-1135G7,8GB,4 - 4.9 lbs.,17.3,1600 x 900,Intel Iris Xe Graphics,Dedicated Card,512 GB,,60 Hz
6548980e5b123315f9ef044a,https://www.newegg.com/p/1TS-000D-19BG2,739.79,,i5-1135G7,16GB,4 - 4.9 lbs.,17.3,1600 x 900,Intel Iris Xe Graphics,Dedicated Card,1 TB,,60 Hz
6548980e5b123315f9ef044b,https://www.newegg.com/p/1TS-000D-197S1,697.79,,Intel Core i5 11th Gen,16GB,3 - 3.9 lbs.,14.0,1366 x 768,Intel Iris Xe Graphics,Dedicated Card,1 TB,,60 Hz
6548980f5b123315f9ef044c,https://www.newegg.com/p/1TS-000D-19BG9,749.79,,i5-1135G7,32GB,4 - 4.9 lbs.,17.3,1600 x 900,Intel Iris Xe Graphics,Dedicated Card,1 TB,,60 Hz
654898105b123315f9ef044d,https://www.newegg.com/p/1TS-000D-18TF1,669.79,,Intel Core i5 11th Gen,8GB,3 - 3.9 lbs.,14.0,1920 x 1080,Intel HD Graphics,Dedicated Card,256 GB,,60 Hz
654898155b123315f9ef044e,https://www.newegg.com/p/1TS-000D-18TG1,699.79,,Intel Core i5 11th Gen,8GB,3 - 3.9 lbs.,14.0,1920 x 1080,Intel HD Graphics,Dedicated Card,1 TB,,60 Hz
654898185b123315f9ef044f,https://www.newegg.com/p/1TS-000D-19BH6,774.79,,i5-1135G7,32GB,4 - 4.9 lbs.,17.3,1600 x 900,Intel Iris Xe Graphics,Dedicated Card,1 TB,,60 Hz
654898195b123315f9ef0450,https://www.newegg.com/dark-gray-lenovo-thinkbook-plus-iml-everyday-value/p/1TS-000E-0W9R9,939.99,Lenovo,Intel Core i5-10210U,16GB,3 - 3.9 lbs.,13.3,1920 x 1080,Intel UHD Graphics,Integrated Card,256 GB,65 whrs,60 Hz
6548981a5b123315f9ef0451,https://www.newegg.com/p/1TS-000D-0Z7W6,786.69,HP,Intel 11th Generation Core i5,32GB,3.75 lbs.,15.6,1920 x 1080 (Full HD),Intel Iris Xe Graphics,Integrated Card,1 TB PCIe,,60 Hz
6548981a5b123315f9ef0452,https://www.newegg.com/p/1TS-000D-19BF8,699.79,,i5-1135G7,16GB,4 - 4.9 lbs.,17.3,1600 x 900,Intel Iris Xe Graphics,Dedicated Card,512 GB,,60 Hz
654898275b123315f9ef0453,https://www.newegg.com/p/1TS-000D-19BG7,719.79,,i5-1135G7,32GB,4 - 4.9 lbs.,17.3,1600 x 900,Intel Iris Xe Graphics,Dedicated Card,512 GB,,60 Hz
654898285b123315f9ef0454,https://www.newegg.com/dark-gray-lenovo-thinkbook-plus-iml-work-business/p/1TS-000E-17XT3,929.99,Lenovo,Intel Core i5-10210U,8GB,3 - 3.9 lbs.,13.3,1920 x 1080,Intel UHD Graphics,Integrated Card,512 GB,65 whrs,60 Hz
654898295b123315f9ef0455,https://www.newegg.com/dark-gray-lenovo-thinkbook-plus-iml/p/1TS-000E-0SWP8,969.99,Lenovo,Intel Core i5-10210U,16GB,3 - 3.9 lbs.,13.3,1920 x 1080,Intel UHD Graphics,Integrated Card,512 GB,65 whrs,60 Hz
6548982b5b123315f9ef0456,https://www.newegg.com/dark-gray-lenovo-thinkbook-plus-iml-work-business/p/1TS-000E-17XT4,989.99,Lenovo,Intel Core i5-10210U,8GB,3 - 3.9 lbs.,13.3,1920 x 1080,Intel UHD Graphics,Integrated Card,1 TB,65 whrs,60 Hz
6548982b5b123315f9ef0457,https://www.newegg.com/p/1TS-000D-194Y6,579.79,,Intel Core i3 11th Gen,32GB,4 - 4.9 lbs.,15.6,1366 x 768,Intel UHD Graphics,Dedicated Card,1 TB,,60 Hz
6548982f5b123315f9ef0458,https://www.newegg.com/dark-gray-lenovo-thinkbook-plus-iml-work-business/p/1TS-000E-17XT2,939.99,Lenovo,Intel Core i5-10210U,16GB,3 - 3.9 lbs.,13.3,1920 x 1080,Intel UHD Graphics,Integrated Card,256 GB,65 whrs,60 Hz
654898345b123315f9ef0459,https://www.newegg.com/p/1TS-000A-0VCJ0,549.79,,i5-1135G7,8GB,4 - 4.9 lbs.,15.6,1920 x 1080,Intel Iris Graphics,Dedicated Card,512 GB,,60 Hz
654898345b123315f9ef045a,https://www.newegg.com/p/1TS-000D-194Y1,449.79,,Intel Core i3 11th Gen,8GB,4 - 4.9 lbs.,15.6,1366 x 768,Intel UHD Graphics,Intergated Card,256 GB,,60 Hz
654898425b123315f9ef045b,https://www.newegg.com/p/1TS-000D-194Z8,539.79,,Intel Core i3 11th Gen,16GB,4 - 4.9 lbs.,15.6,1366 x 768,Intel UHD Graphics,Dedicated Card,1 TB,,60 Hz
654898435b123315f9ef045c,https://www.newegg.com/p/1TS-000D-19500,519.79,,Intel Core i3 11th Gen,16GB,4 - 4.9 lbs.,15.6,1366 x 768,Intel UHD Graphics,Dedicated Card,512 GB,,60 Hz
654898435b123315f9ef045d,https://www.newegg.com/p/1TS-000D-19504,539.79,,Intel Core i3 11th Gen,16GB,4 - 4.9 lbs.,15.6,1366 x 768,Intel UHD Graphics,Dedicated Card,1 TB,,60 Hz
654898445b123315f9ef045e,https://www.newegg.com/p/1TS-000D-194Y7,469.79,,Intel Core i3 11th Gen,8GB,4 - 4.9 lbs.,15.6,1366 x 768,Intel UHD Graphics,Dedicated Card,512 GB,,60 Hz
654898455b123315f9ef045f,https://www.newegg.com/p/1TS-000D-19504,539.79,,Intel Core i3 11th Gen,16GB,4 - 4.9 lbs.,15.6,1366 x 768,Intel UHD Graphics,Dedicated Card,1 TB,,60 Hz
654898465b123315f9ef0460,https://www.newegg.com/p/1TS-000D-19501,569.79,,Intel Core i3 11th Gen,32GB,4 - 4.9 lbs.,15.6,1366 x 768,Intel UHD Graphics,Dedicated Card,1 TB,,60 Hz
6548984a5b123315f9ef0461,https://www.newegg.com/p/1TS-000D-194Z6,539.79,,Intel Core i3 11th Gen,16GB,4 - 4.9 lbs.,15.6,1366 x 768,Intel UHD Graphics,Dedicated Card,1 TB,,60 Hz
6548984c5b123315f9ef0462,https://www.newegg.com/p/1TS-000D-194Y7,469.79,,Intel Core i3 11th Gen,8GB,4 - 4.9 lbs.,15.6,1366 x 768,Intel UHD Graphics,Dedicated Card,512 GB,,60 Hz
654898585b123315f9ef0463,https://www.newegg.com/gray-dell-vostro-5391-laptop-mainstream/p/1TS-000A-0F6C2,899.99,DELL,i7-10510U,8GB,,13.3,1920 x 1080,NVIDIA GeForce MX250,Dedicated Card,256 GB,,60 Hz
654898585b123315f9ef0464,https://www.newegg.com/p/1TS-000D-14XN5,1764,HP,,16GB,,15.6,1920 x 1080,NVIDIA T1200,Dedicated Card,512 GB,,60 Hz
6548985a5b123315f9ef0465,https://www.newegg.com/grey-lenovo-ideapad-3-mainstream/p/1TS-000E-11NN3,289.99,Lenovo,Intel Core i3-1005G1,4GB,3 - 3.9 lbs.,14.0,1920 x 1080,Intel UHD Graphics,Integrated Card,128 GB,65 whrs,60 Hz
6548985b5b123315f9ef0466,https://www.newegg.com/p/1TS-001A-051J3,949,ASUS,,12GB,,15.6,1920 x 1080,NVIDIA GeForce GTX 1650,Dedicated Card,512 GB,,60 Hz
6548985d5b123315f9ef0467,https://www.newegg.com/p/1TS-0016-05575,1269.99,MSI,,16GB,,15.6,1920 x 1080,Intel Iris Xe Graphics,Integrated Card,512 GB,,60 Hz
