Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND)
acer,Intel,5,12,4.5,8,DDR4,3200,512,15,1920x1080,144,Intel,2.5,,21990000
acer,Intel,5,12,4.4,16,DDR4,3200,512,15,1920x1080,144,NVIDIA,2.1,,18990000
acer,Intel,5,11,4.5,8,DDR4,3200,512,15,1920x1080,144,Intel,2.2,,16990000
acer,Intel,7,12,4.7,8,DDR4,3200,512,15,1920x1080,144,NVIDIA,2.5,,23190000
acer,AMD,5,7,,16,DDR4,,512,14,1920x1080,60,AMD,1.2,,17990000
acer,Intel,3,13,4.5,16,LPDDR5,4800,512,15,1920x1080,60,Intel,1.7,,12490000
acer,Intel,5,13,4.6,32,DDR4,,512,15,1920x1080,60,NVIDIA,1.7,,18490000
acer,Intel,5,12,4.4,8,,,512,15,1920x1080,60,Intel,1.7,42,12290000
acer,Intel,5,11,4.4,8,DDR4,3200,512,15,1920x1080,144,Intel,2.2,,17190000
acer,Intel,5,12,4.4,16,DDR4,,512,15,1920x1080,60,Intel,2.1,,15990000
acer,AMD,5,5,4.3,8,DDR4,3200,512,15,1920x1080,144,NVIDIA,2.1,,16490000
acer,AMD,5,7,4.3,8,,,512,14,1920x1080,60,AMD,1.4,40,10990000
acer,Intel,5,11,4.2,8,DDR4,2400,512,15,1920x1080,60,Intel,1.7,,11490000
acer,Intel,5,13,4.6,16,LPDDR5,4800,512,15,1920x1080,60,Intel,1.7,,15990000
acer,Intel,5,11,4.2,8,DDR4,2666,512,14,1920x1080,60,Intel,1.45,,13190000
acer,Intel,7,12,4.7,16,LPDDR4,,1024,14,2560x1440,60,Intel,1.2,,26490000
acer,Intel,5,11,4.2,8,DDR4,2400,256,15,1920x1080,60,Intel,1.7,,11490000
acer,AMD,7,6,4.7,16,LPDDR5,6400,1024,16,3840x2400,60,AMD,1.1,,36990000
acer,Intel,5,12,4.4,8,DDR5,,512,15,1920x1080,144,Intel,2.5,60,23990000
acer,Intel,5,11,4.5,16,LPDDR4,,512,16,1920x1080,60,NVIDIA,1.9,,24990000
acer,Intel,5,12,4.4,16,DDR4,3200,512,15,1920x1080,144,NVIDIA,2.1,,21490000
msi,Intel,5,11,4.5,8,DDR4,3200,512,15,1920x1080,144,NVIDIA,1.86,,14490000
msi,Intel,5,12,4.4,16,DDR4,3200,512,15,1920x1080,144,Intel,1.86,52.4,20490000
acer,Intel,5,13,4.6,16,LPDDR5,5200,512,15,1920x1080,144,Intel,2.1,,27990000
msi,Intel,5,12,4.4,16,DDR4,3200,512,15,1920x1080,144,Intel,1.86,,17990000
