Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND)
lenovo,AMD,7,7730,4.0,8,DDR4,3200,512,14.0,1920 x 1080,,AMD,1.0,,19990000
lenovo,AMD,5,5625,4.0,8,DDR4,3200,512,15.0,1920 x 1080,60,AMD,1.0,45,21290000
acer,Intel,5,12450,4.0,8,DDR4,3200,512,15.0,1920 x 1080,60,Intel,2.0,50,13990000
acer,AMD,5,5500,4.0,16,LPDDR4X,4266,512,14.0,1920 x 1080,60,AMD,1.0,,14490000
lenovo,Intel,5,12450,4.0,16,DDR5,4800,1,14.0,1920 x 1080,144,Intel,1.0,47,15690000
acer,Intel,3,1215,4.0,8,DDR4,3200,256,15.0,1920 x 1080,60,,1.0,3,8690000
acer,Intel,5,11400,4.0,8,DDR4,3200,512,15.0,1920 x 1080,144,NVIDIA,2.0,,17190000
acer,AMD,5,5625,4.0,16,DDR4,3200,512,15.0,1920 x 1080,144,NVIDIA,2.0,53,16490000
acer,Intel,5,12500,4.0,8,DDR4,3200,512,15.0,1920 x 1080,144,Intel,2.0,,21990000
acer,Intel,5,12450,4.0,16,DDR4,3200,512,15.0,1920 x 1080,144,NVIDIA,2.0,,18990000
acer,Intel,5,11400,4.0,8,DDR4,3200,512,15.0,1920 x 1080,144,Intel,2.0,,16990000
acer,Intel,7,12700,4.0,8,DDR4,3200,512,15.0,1920 x 1080,144,NVIDIA,2.0,,23190000
acer,AMD,5,7530,,16,DDR4,,512,14.0,1920 x 1080,60,AMD,1.0,,17990000
acer,Intel,3,1305,4.0,16,LPDDR5,4800,512,15.0,1920 x 1080,60,Intel,1.0,,12490000
acer,Intel,5,13420,4.0,32,DDR4,,512,15.0,1920 x 1080,60,NVIDIA,1.0,,18490000
acer,Intel,5,1235,4.0,8,,,512,15.0,1920 x 1080,60,Intel,1.0,3,12290000
acer,Intel,5,11400,4.0,8,DDR4,3200,512,15.0,1920 x 1080,144,Intel,2.0,,17190000
acer,Intel,5,12450,4.0,16,DDR4,,512,15.0,1920 x 1080,60,Intel,2.0,,15990000
acer,AMD,5,5625,4.0,8,DDR4,3200,512,15.0,1920 x 1080,144,NVIDIA,2.0,,16490000
acer,AMD,5,7520,4.0,8,,,512,14.0,1920 x 1080,60,AMD,1.0,40,10990000
acer,Intel,5,1135,4.0,8,DDR4,2400,512,15.0,1920 x 1080,60,Intel,1.0,,11490000
acer,Intel,5,1335,4.0,16,LPDDR5,4800,512,15.0,1920 x 1080,60,Intel,1.0,,15990000
acer,Intel,5,1135,4.0,8,DDR4,2666,512,14.0,1920 x 1080,60,Intel,1.0,,13190000
acer,Intel,7,1260,4.0,16,LPDDR4,,1,14.0,2560 x 1440,60,Intel,1.0,,26490000
acer,Intel,5,1135,4.0,8,DDR4,2400,256,15.0,1920 x 1080,60,Intel,1.0,,11490000
acer,AMD,7,6800,4.0,16,LPDDR5,6400,1,16.0,3840 x 2400,60,AMD,1.0,,36990000
